RecapL,Lt,Dt,DL
133,129,1,3.98
107,98,1,8.95
114,103,1,10.94
112,98,1,13.93
115,106,1,8.95
141,138,1,2.98
107,83,1,23.88
114,95,1,18.9
111,97,1,13.93
132,131,1,0.99
117,108,1,8.95
148,137,1,10.94
118,107,1,10.94
109,92,1,16.91
137,135,1,1.99
128,124,1,3.98
138,137,1,0.99
134,133,1,0.99
140,136,1,3.98
105,88,1,16.91
105,85,1,19.9
100,74,1,25.87
90,68,1,21.89
135,132,1,2.98
121,102,1,18.9
115,102,1,12.93
133,128,1,4.97
112,99,1,12.93
120,105,1,14.92
114,102,1,11.94
112,96,1,15.92
114,108,1,5.97
118,100,1,17.91
136,131,1,4.97
121,108,1,12.93
123,115,1,7.96
117,101,1,15.92
116,106,1,9.95
114,104,1,9.95
125,118,1,6.96
129,122,1,6.96
125,110,1,14.92
129,117,1,11.94
125,121,1,3.98
130,119,1,10.94
112,94,1,17.91
95,72,1,22.89
106,85,1,20.89
100,83,1,16.91
93,70,1,22.89
90,68,1,21.89
110,97,1,12.93
134,119,1,14.92
130,123,1,6.96
137,134,1,2.98
135,133,1,1.99
135,98,1,36.82
119,100,1,18.9
137,133,1,3.98
121,113,1,7.96
121,111,1,9.95
138,136,1,1.99
121,111,1,9.95
113,102,1,10.94
127,124,1,2.98
137,132,1,4.97
124,116,1,7.96
149,146,1,2.98
130,128,1,1.99
135,129,1,5.97
115,110,1,4.97
133,128,1,4.97
131,129,1,1.99
116,97,1,18.9
118,105,1,12.93
118,107,1,10.94
114,101,1,12.93
120,110,1,9.95
125,117,1,7.96
116,96,1,19.9
131,129,1,1.99
141,127,1,13.93
134,128,1,5.97
126,124,1,1.99
134,127,1,6.96
132,129,1,2.98
127,121,1,5.97
123,128,1,-4.97
118,100,1,17.91
121,111,1,9.95
113,98,1,14.92
133,134,1,-0.99
130,115,1,14.92
137,134,1,2.98
133,124,1,8.95
118,114,1,3.98
111,97,1,13.93
139,136,1,2.98
128,114,1,13.93
125,117,1,7.96
130,117,1,12.93
130,130,1,0
106,89,1,16.91
112,93,1,18.9
129,128,1,0.99
129,123,1,5.97
120,105,1,14.92
135,132,1,2.98
132,128,1,3.98
124,117,1,6.96
124,131,1,-6.96
125,110,1,14.92
126,121,1,4.97
127,122,1,4.97
110,93,1,16.91
123,114,1,8.95
136,130,1,5.97
131,131,1,0
129,127,1,1.99
123,114,1,8.95
133,128,1,4.97
122,109,1,12.93
134,132,1,1.99
130,117,1,12.93
134,129,1,4.97
134,131,1,2.98
135,133,1,1.99
120,116,1,3.98
130,127,1,2.98
105,81,1,23.88
98,71,1,26.87
89,70,1,18.9
106,85,1,20.89
104,83,1,20.89
92,66,1,25.87
90,63,1,26.87
97,75,1,21.89
99,75,1,23.88
75,61,1,13.93
91,69,1,21.89
104,83,1,20.89
100,78,1,21.89
85,69,1,15.92
105,83,1,21.89
101,78,1,22.89
108,88,1,19.9
109,94,1,14.92
92,73,1,18.9
126,122,1,3.98
122,117,1,4.97
137,136,1,0.99
122,118,1,3.98
135,130,1,4.97
136,130,1,5.97
126,121,1,4.97
129,130,1,-0.99
117,106,1,10.94
129,127,1,1.99
132,130,1,1.99
131,128,1,2.98
131,126,1,4.97
110,101,1,8.95
107,90,1,16.91
132,129,1,2.98
133,131,1,1.99
131,131,1,0
105,87,1,17.91
115,104,1,10.94
117,112,1,4.97
141,136,1,4.97
118,102,1,15.92
112,111,1,0.99
107,95,1,11.94
133,108,1,24.88
134,135,1,-0.99
110,108,1,1.99
126,118,1,7.96
131,130,1,0.99
135,124,1,10.94
110,92,1,17.91
118,114,1,3.98
121,116,1,4.97
121,108,1,12.93
134,132,1,1.99
118,109,1,8.95
142,136,1,5.97
108,96,1,11.94
120,115,1,4.97
134,130,1,3.98
126,126,1,0
120,102,1,17.91
124,112,1,11.94
134,133,1,0.99
129,120,1,8.95
128,112,1,15.92
119,110,1,8.95
135,120,1,14.92
114,106,1,7.96
119,105,1,13.93
129,126,1,2.98
129,120,1,8.95
110,93,1,16.91
121,111,1,9.95
129,109,1,19.9
131,127,1,3.98
124,112,1,11.94
135,132,1,2.98
118,101,1,16.91
88,70,1,17.91
82,60,1,21.89
113,90,1,22.89
92,72,1,19.9
108,89,1,18.9
94,73,1,20.89
102,82,1,19.9
113,92,1,20.89
116,94,1,21.89
95,76,1,18.9
117,133,1,-15.92
122,111,1,10.94
118,112,1,5.97
130,119,1,10.94
137,136,1,0.99
129,121,1,7.96
134,128,1,5.97
125,108,1,16.91
136,127,1,8.95
126,114,1,11.94
121,109,1,11.94
122,108,1,13.93
122,99,1,22.89
143,137,1,5.97
117,107,1,9.95
117,91,1,25.87
122,117,1,4.97
141,134,1,6.96
129,125,1,3.98
132,132,1,0
144,136,1,7.96
130,119,1,10.94
119,110,1,8.95
131,132,1,-0.99
118,99,1,18.9
133,132,1,0.99
132,134,1,-1.99
113,96,1,16.91
129,118,1,10.94
129,129,1,0
130,120,1,9.95
105,85,1,19.9
98,80,1,17.91
93,69,1,23.88
103,85,1,17.91
88,64,1,23.88
100,83,1,16.91
97,74,1,22.89
117,99,1,17.91
85,66,1,18.9
102,89,1,12.93
106,78,1,27.86
93,69,1,23.88
111,101,1,9.95
95,71,1,23.88
87,62,1,24.88
89,65,1,23.88
90,63,1,26.87
88,64,1,23.88
109,92,1,16.91
127,117,1,9.95
136,136,1,0
119,115,1,3.98
133,124,1,8.95
128,121,1,6.96
127,107,1,19.9
135,131,1,3.98
124,105,1,18.9
110,94,1,15.92
117,101,1,15.92
133,129,1,3.98
122,116,1,5.97
126,117,1,8.95
138,129,1,8.95
123,112,1,10.94
125,123,1,1.99
127,103,1,23.88
130,125,1,4.97
122,119,1,2.98
103,92,1,10.94
116,112,1,3.98
106,85,1,20.89
93,71,1,21.89
91,70,1,20.89
93,71,1,21.89
90,65,1,24.88
77,65,1,11.94
72,47,1,24.88
138,136,1,1.99
134,115,1,18.9
118,105,1,12.93
122,107,1,14.92
114,104,1,9.95
142,135,1,6.96
132,127,1,4.97
128,114,1,13.93
122,115,1,6.96
137,132,1,4.97
134,127,1,6.96
114,102,1,11.94
127,127,1,0
136,136,1,0
97,83,1,13.93
75,57,1,17.91
92,72,1,19.9
94,72,1,21.89
75,53,1,21.89
76,57,1,18.9
84,62,1,21.89
74,58,1,15.92
98,81,1,16.91
107,86,1,20.89
89,70,1,18.9
114,99,1,14.92
101,87,1,13.93
96,73,1,22.89
90,74,1,15.92
115,109,1,5.97
136,131,1,4.97
117,116,1,0.99
132,131,1,0.99
126,117,1,8.95
132,131,1,0.99
128,125,1,2.98
113,103,1,9.95
115,109,1,5.97
126,116,1,9.95
129,126,1,2.98
131,131,1,0
129,119,1,9.95
135,133,1,1.99
121,119,1,1.99
131,125,1,5.97
131,121,1,9.95
135,132,1,2.98
130,118,1,11.94
119,105,1,13.93
119,115,1,3.98
131,127,1,3.98
131,127,1,3.98
116,95,1,20.89
73,52,1,20.89
